105,50.0,0.18
105,52.0,0.18
105,66.0,0.18
106,66.0,0.17
106,58.0,0.17
106,60.0,0.17
106,70.0,0.17
106,66.0,0.17
106,66.0,0.17
107,74.0,0.2
107,78.0,0.2
107,74.0,0.2
108,76.0,0.19
108,72.0,0.19
108,80.0,0.19
108,78.0,0.19
109,84.0,0.2
109,80.0,0.2
109,64.0,0.2
109,76.0,0.2
109,64.0,0.2
110,72.0,0.17
110,64.0,0.17
110,72.0,0.17
110,66.0,0.17
110,60.0,0.17
111,38.0,0.16
111,32.0,0.17
111,34.0,0.17
111,36.0,0.17
112,76.0,0.17
112,82.0,0.17
112,62.0,0.17
112,74.0,0.17
112,70.0,0.17
112,74.0,0.17
113,72.0,0.17
113,80.0,0.17
113,78.0,0.17
113,84.0,0.17
114,68.0,0.16
114,72.0,0.16
114,62.0,0.16
114,68.0,0.16
114,62.0,0.16
115,60.0,0.17
115,58.0,0.17
115,62.0,0.17
115,44.0,0.17
116,58.0,0.17
116,56.0,0.17
116,60.0,0.17
116,64.0,0.17
117,68.0,0.17
117,60.0,0.17
117,66.0,0.18
117,66.0,0.17
118,68.0,0.16
118,64.0,0.16
118,58.0,0.16
119,48.0,0.16
119,44.0,0.16
119,40.0,0.16
119,38.0,0.16
119,34.0,0.16
120,88.0,0.17
120,84.0,0.17
120,80.0,0.17
120,92.0,0.17
120,90.0,0.17
121,80.0,0.17
121,88.0,0.17
121,84.0,0.17
121,84.0,0.17
121,82.0,0.17
122,80.0,0.19
122,70.0,0.19
122,62.0,0.19
122,80.0,0.19
123,62.0,8.09
123,58.0,8.09
123,64.0,8.09
124,60.0,0.17
124,54.0,0.17
125,78.0,0.17
125,72.0,0.17
125,78.0,0.17
125,76.0,0.17
125,72.0,0.17
126,62.0,0.17
126,58.0,0.17
126,60.0,0.17
126,56.0,0.17
126,64.0,0.17
127,66.0,0.17
127,62.0,0.17
127,58.0,0.17
127,68.0,0.17
128,90.0,0.17
128,88.0,0.17
128,84.0,0.17
128,88.0,0.17
129,64.0,0.17
129,56.0,0.17
130,84.0,0.16
130,80.0,0.16
130,80.0,0.16
130,78.0,0.16
131,80.0,0.16
131,82.0,0.17
131,66.0,0.16
131,72.0,0.16
131,76.0,0.17
132,86.0,0.17
132,92.0,0.17
132,88.0,0.17
132,84.0,0.17
133,74.0,0.17
133,66.0,0.17
133,72.0,0.17
134,64.0,0.17
134,68.0,0.17
134,88.0,0.17
134,70.0,0.17
134,68.0,0.17
135,76.0,0.17
135,62.0,0.17
135,72.0,0.17
135,66.0,0.17
136,88.0,0.17
136,84.0,0.17
136,88.0,0.17
137,62.0,0.17
137,68.0,0.17
137,72.0,0.17
137,70.0,0.17
138,78.0,0.16
138,78.0,0.16
138,74.0,0.16
138,68.0,0.16
138,76.0,0.16
138,70.0,0.16
139,58.0,0.17
139,64.0,0.17
139,66.0,0.17
139,56.0,0.17
139,78.0,0.17
140,72.0,0.17
140,76.0,0.17
141,12.0,0.17
141,16.0,0.17
141,14.0,0.17
142,36.0,0.17
142,42.0,0.17
142,50.0,0.17
142,48.0,0.17
142,42.0,0.17
142,48.0,0.17
143,74.0,0.17
143,78.0,0.17
143,82.0,0.17
144,18.0,8.08
144,24.0,8.08
144,32.0,8.08
145,86.0,0.17
145,86.0,0.17
145,76.0,0.17
145,82.0,0.17
145,88.0,0.17
146,82.0,0.17
146,80.0,0.17
146,86.0,0.17
147,82.0,0.17
147,84.0,0.17
147,78.0,0.17
147,80.0,0.17
147,84.0,0.17
148,74.0,0.17
148,80.0,0.17
148,74.0,0.17
149,84.0,0.16
149,78.0,0.16
149,88.0,0.16
