episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
303,64.0,0.02,98.0,42.94,2.0,0.13
304,8.0,0.37,63.0,25.74,1.0,0.11
305,78.0,0.0,100.0,53.36,4.0,0.12
306,100.0,0.0,100.0,9.36,8.0,0.12
307,100.0,0.0,100.0,29.59,16.0,0.12
308,64.0,0.0,100.0,17.43,4.0,0.12
309,14.0,0.37,63.0,93.5,1.0,0.11
310,100.0,0.0,100.0,31.5,16.0,0.13
311,22.0,0.3,70.0,26.25,1.0,0.11
312,100.0,0.0,100.0,26.84,16.0,0.13
313,100.0,0.0,100.0,15.95,16.0,0.13
314,10.0,0.31,69.0,38.33,1.0,0.12
315,84.0,0.0,100.0,10.24,4.0,0.12
316,100.0,0.0,100.0,38.62,4.0,0.13
317,100.0,0.0,100.0,48.75,4.0,0.14
318,100.0,0.0,100.0,16.6,16.0,0.12
319,82.0,0.0,100.0,19.07,4.0,0.12
320,100.0,0.0,100.0,38.5,4.0,0.12
321,100.0,0.0,100.0,34.4,8.0,0.12
322,100.0,0.0,100.0,24.79,16.0,0.13
323,100.0,0.0,100.0,34.57,4.0,0.12
324,52.0,0.0,100.0,29.0,2.0,0.12
325,78.0,0.01,99.0,28.58,2.0,0.13
326,100.0,0.0,100.0,47.24,8.0,0.12
327,6.0,0.29,71.0,33.76,1.0,0.11
328,100.0,0.0,100.0,22.8,4.0,0.13
329,100.0,0.0,100.0,21.73,16.0,0.12
330,-4.0,0.36,64.0,48.06,1.0,0.1
331,100.0,0.0,100.0,27.53,16.0,0.12
332,100.0,0.0,100.0,16.28,8.0,0.12
333,100.0,0.0,100.0,18.45,16.0,0.13
334,70.0,0.04,96.0,6.95,2.0,0.12
335,74.0,0.03,97.0,33.4,2.0,0.12
336,100.0,0.0,100.0,40.02,8.0,0.12
337,100.0,0.0,100.0,28.03,4.0,0.12
338,100.0,0.0,100.0,42.9,8.0,0.13
339,100.0,0.0,100.0,12.9,8.0,0.12
340,100.0,0.0,100.0,54.34,4.0,0.12
341,-6.0,0.39,61.0,43.86,1.05,0.11
342,100.0,0.0,100.0,16.76,8.0,0.13
343,100.0,0.0,100.0,28.4,4.0,0.13
344,74.0,0.03,97.0,22.68,2.0,0.12
345,100.0,0.0,100.0,15.8,8.0,0.12
346,74.0,0.02,98.0,32.74,2.0,0.12
347,70.0,0.02,98.0,36.97,2.0,0.12
348,10.0,0.41,59.0,37.56,1.0,0.11
349,14.0,0.32,68.0,55.27,1.0,0.11
