episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
297,76.0,0.0,100.0,55.48,8.0,0.16
298,86.0,0.0,100.0,47.36,2.0,0.13
299,82.0,0.01,99.0,36.81,2.0,0.13
300,42.0,0.29,71.0,23.62,1.0,0.12
301,6.0,0.41,59.0,47.82,1.0,0.12
302,86.0,0.02,98.0,35.5,2.0,0.18
303,78.0,0.03,97.0,47.24,2.0,0.14
304,88.0,0.0,100.0,33.5,16.0,0.13
305,92.0,0.0,100.0,24.48,4.0,0.13
306,74.0,0.04,96.0,45.25,2.0,0.12
307,92.0,0.0,100.0,48.53,8.0,0.12
308,98.0,0.0,100.0,30.78,8.0,0.13
309,86.0,0.0,100.0,29.57,8.0,0.22
310,98.0,0.0,100.0,13.59,16.0,0.15
311,90.0,0.04,96.0,16.92,2.0,0.15
312,90.0,0.0,100.0,24.07,8.0,0.15
313,100.0,0.0,100.0,14.23,8.0,0.13
314,82.0,0.07,93.0,28.03,2.0,0.13
315,12.0,0.35,65.0,67.62,1.0,0.12
316,18.0,0.36,64.0,38.46,1.0,0.12
317,86.0,0.0,100.0,25.09,8.0,0.14
318,100.0,0.0,100.0,4.32,2.0,0.12
319,88.0,0.0,100.0,39.55,4.0,0.13
320,96.0,0.0,100.0,10.46,16.0,0.12
321,80.0,0.01,99.0,40.21,2.0,0.12
322,90.0,0.0,100.0,32.9,8.0,0.13
323,90.0,0.0,100.0,24.68,8.0,0.15
324,28.0,0.33,67.0,32.56,1.0,0.13
325,74.0,0.04,96.0,35.46,2.0,0.12
326,82.0,0.0,100.0,31.05,16.0,0.14
327,32.0,0.3,70.0,39.7,1.0,0.13
328,96.0,0.0,100.0,11.77,8.0,0.13
329,88.0,0.0,100.0,36.64,16.0,0.13
330,88.0,0.03,97.0,24.23,2.0,0.13
331,4.0,0.37,63.0,81.6,1.0,0.11
332,86.0,0.0,100.0,22.88,16.0,0.12
333,76.0,0.01,99.0,44.33,2.0,0.12
334,100.0,0.0,100.0,15.88,16.0,0.12
335,96.0,0.0,100.0,24.0,16.0,0.13
336,84.0,0.04,96.0,26.73,2.0,0.12
337,90.0,0.0,100.0,22.18,4.0,0.13
338,94.0,0.0,100.0,15.48,8.0,0.13
339,82.0,0.03,97.0,35.56,2.0,0.12
340,88.0,0.0,100.0,19.98,16.0,0.13
341,100.0,0.0,100.0,15.58,8.0,0.14
342,100.0,0.0,100.0,15.43,4.0,0.13
343,4.0,0.41,59.0,54.84,1.0,0.12
344,82.0,0.03,97.0,28.74,2.0,0.12
345,92.0,0.0,100.0,23.71,8.0,0.13
346,36.0,0.25,75.0,73.71,1.0,0.11
347,96.0,0.0,100.0,25.64,4.0,0.12
348,96.0,0.0,100.0,24.05,8.0,0.12
349,88.0,0.0,100.0,33.07,16.0,0.12
350,96.0,0.0,100.0,23.86,4.0,0.13
351,94.0,0.0,100.0,14.75,8.0,0.12
352,90.0,0.0,100.0,21.16,4.0,0.13
353,90.0,0.0,100.0,26.75,4.0,0.13
354,100.0,0.0,100.0,14.44,8.0,0.12
355,90.0,0.0,100.0,27.02,4.0,0.12
356,94.0,0.0,100.0,27.5,8.0,0.13
357,92.0,0.0,100.0,33.93,8.0,0.13
358,26.0,0.33,67.0,37.62,1.0,0.11
359,28.0,0.31,69.0,48.47,1.0,0.11
360,92.0,0.0,100.0,32.6,16.0,0.12
361,96.0,0.0,100.0,29.59,16.0,0.12
362,88.0,0.0,100.0,21.86,8.0,0.12
363,98.0,0.0,100.0,12.46,16.0,0.13
364,20.0,0.34,66.0,82.51,1.0,0.11
365,100.0,0.0,100.0,24.07,8.0,0.13
366,96.0,0.0,100.0,17.71,4.0,0.13
367,94.0,0.0,100.0,22.34,4.0,0.13
368,92.0,0.0,100.0,20.43,16.0,0.13
369,92.0,0.0,100.0,36.16,8.0,0.13
370,98.0,0.0,100.0,8.66,8.0,0.13
371,44.0,0.21,79.0,61.82,1.0,0.12
372,84.0,0.02,98.0,32.91,2.0,0.12
373,92.0,0.0,100.0,19.85,16.0,0.13
374,84.0,0.0,100.0,52.78,16.0,0.19
375,96.0,0.0,100.0,28.19,8.0,0.13
376,84.0,0.0,100.0,57.09,4.0,0.13
377,92.0,0.04,96.0,23.24,2.0,0.13
378,98.0,0.0,100.0,14.46,4.0,0.16
379,92.0,0.0,100.0,21.69,16.0,0.14
380,98.0,0.0,100.0,18.0,4.0,0.14
381,84.0,0.0,100.0,36.8,4.0,0.14
382,84.0,0.0,100.0,48.24,4.0,0.15
383,96.0,0.0,100.0,17.83,8.0,0.14
384,84.0,0.0,100.0,39.32,8.0,0.13
385,4.0,0.42,58.0,58.56,1.0,0.11
386,94.0,0.0,100.0,22.64,4.0,0.12
387,22.0,0.36,64.0,31.57,1.0,0.12
388,28.0,0.36,64.0,46.59,1.0,0.12
389,28.0,0.36,64.0,23.86,1.0,0.12
390,92.0,0.0,100.0,24.57,8.0,0.12
391,92.0,0.03,97.0,19.48,2.0,0.13
392,30.0,0.34,66.0,29.0,1.0,0.11
393,90.0,0.05,95.0,13.42,2.0,0.12
394,92.0,0.04,96.0,18.24,2.0,0.14
395,78.0,0.0,100.0,43.92,16.0,0.14
396,90.0,0.02,98.0,30.18,2.0,0.16
397,86.0,0.0,100.0,31.62,8.0,0.17
398,84.0,0.0,100.0,28.95,4.0,0.13
399,88.0,0.0,100.0,26.95,16.0,0.13
400,26.0,0.36,64.0,33.02,1.0,0.11
401,72.0,0.04,96.0,48.91,2.0,0.14
402,96.0,0.0,100.0,21.09,8.0,0.14
403,86.0,0.0,100.0,40.05,16.0,0.14
404,94.0,0.0,100.0,19.81,4.0,0.12
405,90.0,0.0,100.0,19.53,16.0,0.13
406,84.0,0.0,100.0,31.77,8.0,0.13
407,92.0,0.0,100.0,32.9,8.0,0.12
408,94.0,0.02,98.0,10.41,2.0,0.12
409,30.0,0.31,69.0,37.2,1.0,0.11
410,94.0,0.0,100.0,22.52,8.0,0.13
411,16.0,0.39,61.0,47.5,1.0,0.12
412,28.0,0.31,69.0,54.98,1.0,0.12
413,100.0,0.0,100.0,7.29,4.0,0.12
414,90.0,0.0,100.0,25.43,16.0,0.13
415,94.0,0.0,100.0,20.27,8.0,0.13
416,76.0,0.03,97.0,51.04,2.0,0.13
417,10.0,0.39,61.0,64.87,1.0,0.12
418,72.0,0.06,94.0,37.39,2.0,0.14
419,96.0,0.0,100.0,21.52,4.0,0.13
420,94.0,0.0,100.0,26.16,4.0,0.12
421,96.0,0.0,100.0,26.34,2.0,0.12
422,92.0,0.02,98.0,12.1,2.0,0.13
423,96.0,0.0,100.0,16.5,4.0,0.12
424,96.0,0.0,100.0,11.79,16.0,0.13
425,94.0,0.01,99.0,23.09,2.0,0.14
426,60.0,0.04,96.0,71.79,2.0,0.13
427,100.0,0.0,100.0,25.16,8.0,0.13
428,84.0,0.0,100.0,40.34,4.0,0.14
429,92.0,0.0,100.0,36.43,8.0,0.13
430,96.0,0.0,100.0,16.09,16.0,0.13
431,94.0,0.0,100.0,17.36,8.0,0.13
432,36.0,0.29,71.0,33.12,1.0,0.13
433,26.0,0.35,65.0,19.53,1.0,0.13
434,92.0,0.0,100.0,34.66,8.0,0.13
435,94.0,0.0,100.0,29.03,4.0,0.13
436,96.0,0.0,100.0,23.08,4.0,0.13
437,98.0,0.0,100.0,4.98,8.0,0.19
438,90.0,0.0,100.0,25.18,4.0,0.22
439,98.0,0.0,100.0,21.46,8.0,0.17
440,86.0,0.0,100.0,39.59,8.0,0.18
441,38.0,0.29,71.0,29.61,1.0,0.15
442,92.0,0.0,100.0,22.39,4.0,0.14
443,98.0,0.0,100.0,19.44,16.0,0.16
444,54.0,0.23,77.0,20.71,1.0,0.13
445,26.0,0.35,65.0,49.5,1.0,0.16
446,100.0,0.0,100.0,10.92,8.0,0.15
447,96.0,0.0,100.0,11.68,8.0,0.24
448,98.0,0.0,100.0,16.81,4.0,0.17
449,94.0,0.0,100.0,20.78,4.0,0.13
450,92.0,0.0,100.0,30.8,4.0,0.14
451,100.0,0.0,100.0,17.91,8.0,0.13
452,92.0,0.0,100.0,19.55,8.0,0.14
453,86.0,0.04,96.0,24.7,2.0,0.13
454,12.0,0.43,57.0,22.78,1.0,0.12
455,90.0,0.0,100.0,27.64,8.0,0.13
456,98.0,0.0,100.0,19.89,2.0,0.13
457,92.0,0.0,100.0,23.79,4.0,0.13
458,82.0,0.0,100.0,26.44,4.0,0.13
459,80.0,0.05,95.0,32.39,2.0,0.13
460,98.0,0.0,100.0,15.35,8.0,0.13
461,96.0,0.0,100.0,31.08,16.0,0.14
462,94.0,0.02,98.0,20.82,2.0,0.14
463,34.0,0.31,69.0,35.88,1.0,0.12
464,94.0,0.03,97.0,8.79,2.0,0.13
465,88.0,0.04,96.0,19.2,2.0,0.14
466,94.0,0.0,100.0,20.71,8.0,0.13
467,88.0,0.0,100.0,28.26,4.0,0.14
468,100.0,0.0,100.0,16.59,8.0,0.14
469,98.0,0.0,100.0,14.35,4.0,0.13
470,82.0,0.0,100.0,38.82,2.0,0.13
471,98.0,0.0,100.0,14.68,4.0,0.13
472,100.0,0.0,100.0,14.95,8.0,0.13
473,92.0,0.0,100.0,33.85,16.0,0.14
474,28.0,0.32,68.0,33.92,1.0,0.12
475,82.0,0.03,97.0,24.25,2.0,0.13
476,12.0,0.41,59.0,46.64,1.0,0.13
477,14.0,0.38,62.0,32.92,1.0,0.13
478,92.0,0.0,100.0,30.38,16.0,0.13
479,98.0,0.0,100.0,12.41,4.0,0.13
480,78.0,0.0,100.0,38.91,8.0,0.13
481,24.0,0.35,65.0,37.53,1.0,0.13
482,36.0,0.29,71.0,26.71,1.0,0.13
483,84.0,0.04,96.0,21.13,2.0,0.13
484,96.0,0.0,100.0,22.92,8.0,0.13
485,92.0,0.0,100.0,45.23,8.0,0.14
486,34.0,0.32,68.0,31.79,1.0,0.13
487,82.0,0.07,93.0,19.0,2.0,0.14
488,78.0,0.0,100.0,48.9,16.0,0.13
489,24.0,0.34,66.0,28.35,1.0,0.11
490,92.0,0.0,100.0,25.64,4.0,0.12
491,28.0,0.34,66.0,28.67,1.0,0.12
492,36.0,0.26,74.0,37.47,1.0,0.12
493,92.0,0.0,100.0,33.67,16.0,0.13
494,30.0,0.33,67.0,29.1,1.0,0.13
495,92.0,0.04,96.0,4.91,2.0,0.12
496,86.0,0.0,100.0,37.84,4.0,0.13
497,94.0,0.0,100.0,23.27,4.0,0.12
498,90.0,0.0,100.0,32.41,16.0,0.13
499,34.0,0.29,71.0,39.58,1.0,0.12
500,16.0,0.4,60.0,33.0,1.0,0.12
501,98.0,0.0,100.0,16.09,4.0,0.13
502,96.0,0.0,100.0,31.52,4.0,0.13
503,36.0,0.32,68.0,17.34,1.0,0.12
504,32.0,0.34,66.0,12.11,1.0,0.13
505,88.0,0.0,100.0,35.84,4.0,0.13
506,84.0,0.0,100.0,33.64,4.0,0.13
507,92.0,0.01,99.0,19.28,2.0,0.14
508,92.0,0.02,98.0,21.91,2.0,0.13
509,88.0,0.0,100.0,33.98,4.0,0.13
510,18.0,0.4,60.0,20.72,1.0,0.11
511,72.0,0.05,95.0,41.35,2.0,0.13
512,18.0,0.39,61.0,35.74,1.0,0.13
513,90.0,0.02,98.0,26.11,2.0,0.14
514,86.0,0.0,100.0,64.37,8.0,0.13
515,24.0,0.3,70.0,54.21,1.0,0.14
516,94.0,0.0,100.0,27.14,16.0,0.13
517,84.0,0.0,100.0,34.66,4.0,0.13
518,22.0,0.39,61.0,20.08,1.0,0.12
519,28.0,0.33,67.0,38.21,1.0,0.12
520,38.0,0.31,69.0,8.89,1.0,0.12
521,84.0,0.0,100.0,38.02,8.0,0.12
522,92.0,0.03,97.0,21.43,2.0,0.13
523,82.0,0.02,98.0,45.14,2.0,0.13
524,94.0,0.0,100.0,15.26,16.0,0.13
525,12.0,0.43,57.0,43.85,1.0,0.13
526,98.0,0.0,100.0,13.85,16.0,0.14
527,96.0,0.0,100.0,24.37,16.0,0.13
528,88.0,0.05,95.0,30.41,2.0,0.12
529,92.0,0.0,100.0,24.21,8.0,0.13
530,100.0,0.0,100.0,16.63,8.0,0.13
531,90.0,0.03,97.0,15.15,2.0,0.13
532,90.0,0.0,100.0,36.13,8.0,0.13
