episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,executionTime
348,318.0,0.02,98.0,54.94,12.73,0.1
349,1353.34,0.0,100.0,50.68,2.47,1.17
350,734.66,0.02,98.0,46.15,8.48,0.1
351,1021.0,0.01,99.0,30.96,5.68,0.09
352,1247.67,0.0,100.0,69.01,3.52,0.15
353,1162.7,0.02,98.0,69.2,4.12,0.15
354,810.67,0.0,100.0,44.64,7.89,0.11
355,920.0,0.02,98.0,57.75,6.59,0.09
356,319.0,0.01,99.0,54.76,12.77,0.09
357,1252.78,0.02,98.0,49.9,3.2,0.11
358,895.11,0.03,97.0,65.67,6.74,0.1
359,1023.45,0.0,100.0,24.55,5.77,0.1
360,1196.97,0.02,98.0,72.03,3.77,0.12
361,962.66,0.02,98.0,30.42,6.16,0.09
362,893.0,0.01,99.0,34.37,6.97,0.09
363,984.14,0.01,99.0,39.93,6.05,0.1
364,1373.56,0.01,99.0,80.91,2.12,0.1
365,877.47,0.02,98.0,61.41,7.03,0.1
366,862.67,0.02,98.0,65.62,7.18,0.1
367,1139.37,0.0,100.0,66.57,4.61,0.1
368,1149.8,0.01,99.0,49.15,4.38,0.1
369,516.0,0.02,98.0,36.42,10.71,1.16
370,623.0,0.01,99.0,46.0,9.7,0.1
371,1340.5,0.0,100.0,52.59,2.6,0.1
372,704.0,0.0,100.0,71.94,8.96,0.09
373,767.03,0.0,100.0,62.77,8.33,0.09
374,722.6,0.01,99.0,35.97,8.69,0.1
375,904.0,0.02,98.0,72.0,6.76,0.11
376,1322.0,0.01,99.0,39.54,2.64,0.1
377,1147.17,0.02,98.0,41.83,4.27,0.1
378,1130.0,0.0,100.0,78.79,4.7,0.1
379,827.0,0.01,99.0,58.05,7.64,0.1
380,830.0,0.02,98.0,70.31,7.51,0.1
381,589.67,0.01,99.0,51.49,10.03,0.1
382,945.61,0.02,98.0,49.15,6.33,0.09
383,1020.0,0.02,98.0,45.09,5.57,0.09
384,786.87,0.03,97.0,60.39,7.86,0.09
385,1067.83,0.02,98.0,30.05,5.08,0.1
386,254.0,0.01,99.0,35.17,13.42,0.1
387,1337.55,0.0,100.0,83.4,2.62,0.1
388,1182.67,0.0,100.0,71.8,4.17,0.09
389,1344.03,0.0,100.0,35.89,2.56,0.1
390,1370.0,0.0,100.0,59.02,2.3,1.23
391,980.0,0.0,100.0,38.99,6.2,0.1
392,1008.27,0.0,100.0,35.16,5.92,0.1
393,503.0,0.0,100.0,70.44,10.97,0.1
394,1062.0,0.0,100.0,61.8,5.38,0.09
395,1092.53,0.01,99.0,53.33,4.95,0.1
396,718.0,0.02,98.0,64.74,8.65,0.09
397,1017.75,0.0,100.0,26.92,5.82,0.1
398,889.71,0.01,99.0,74.54,7.0,0.1
399,1119.0,0.01,99.0,23.76,4.69,0.09
400,1259.29,0.0,100.0,84.29,3.41,0.1
401,879.33,0.02,98.0,74.09,7.01,0.09
402,1351.86,0.0,100.0,41.16,2.48,0.1
403,1416.62,0.01,99.0,33.4,1.68,0.1
404,1141.9,0.0,100.0,65.2,4.58,0.1
405,563.0,0.01,99.0,35.7,10.3,0.1
406,1152.66,0.0,100.0,41.38,4.47,0.1
407,671.43,0.0,100.0,45.24,9.29,0.1
408,1248.0,0.0,100.0,49.74,3.52,0.1
409,1055.0,0.01,99.0,65.41,5.33,0.09
410,1153.67,0.02,98.0,78.09,4.21,1.14
411,1028.0,0.0,100.0,39.16,5.72,0.09
412,334.0,0.02,98.0,33.78,12.57,0.1
413,776.33,0.01,99.0,85.17,8.15,0.09
414,1325.55,0.01,99.0,30.34,2.6,0.09
415,1099.14,0.01,99.0,73.63,4.89,0.09
416,1404.5,0.02,98.0,83.73,1.65,0.09
417,618.0,0.02,98.0,52.72,9.67,0.09
418,527.0,0.01,99.0,67.2,10.67,0.09
419,395.0,0.01,99.0,67.53,12.0,0.09
420,897.4,0.0,100.0,40.0,7.03,0.09
421,1059.0,0.01,99.0,64.29,5.29,0.1
422,1147.04,0.03,97.0,41.19,4.14,0.1
423,1429.58,0.01,99.0,75.05,1.55,0.1
424,875.0,0.01,99.0,60.6,7.15,0.09
425,1217.0,0.0,100.0,57.8,3.83,0.09
426,756.0,0.01,99.0,43.4,8.35,0.09
427,1133.8,0.01,99.0,56.56,4.54,0.09
