episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
187,66,100,28.985393,1,1,66,0.17,83,56.01,13.45,0.28
188,60,100,29.238127,1,3,60,0.16,84,48.92,9.6,0.31
189,52,100,29.444257,1,4,52,0.22,78,27.08,10.62,0.24
190,40,100,29.696244,-1,5,40,0.15,85,62.36,2.05,0.19
191,52,100,29.923225,-1,4,52,0.17,83,80.51,5.82,0.24
192,48,100,30.205228,1,1,48,0.2,80,66.86,4.98,0.21
193,56,100,30.45675,-1,5,56,0.18,82,83.21,8.01,0.27
194,48,100,30.777937,1,1,48,0.16,84,71.82,4.88,0.23
195,72,100,31.04306,1,3,72,0.11,89,67.77,6.13,0.3
196,58,100,31.329225,1,3,58,0.18,82,90.17,9.98,0.25
197,44,100,31.596586,1,0,44,0.19,81,55.3,8.12,0.27
198,40,100,31.851625,1,0,40,0.19,81,68.67,2.22,0.25
199,48,100,32.116207,1,1,48,0.15,85,44.79,8.57,0.24
200,62,100,32.353448,1,2,62,0.16,84,82.72,8.66,0.25
201,60,100,32.704081,1,0,60,0.12,88,103.27,5.68,0.22
202,66,100,32.979693,1,0,66,0.13,87,35.49,10.41,0.34
203,56,100,33.268977,1,2,56,0.21,79,51.64,13.91,0.26
204,56,100,33.575922,1,2,56,0.16,84,63.52,9.21,0.27
205,70,100,33.844265,1,3,70,0.12,88,80.04,10.82,0.28
206,80,100,34.087417,1,1,80,0.1,90,56.06,11.41,0.25
207,54,100,34.338672,1,4,54,0.16,84,77.19,5.44,0.23
208,76,100,34.599525,1,0,76,0.1,90,99.25,11.5,0.23
209,54,100,34.830009,1,1,54,0.23,77,76.93,8,0.24
210,68,100,35.116105,1,2,68,0.16,84,85.39,13.67,0.21
211,38,100,35.329971,1,4,38,0.17,83,66.42,3.71,0.27
212,44,100,35.574441,1,1,44,0.19,81,112.78,1.71,0.2
213,52,100,35.803537,-1,4,52,0.19,81,43.13,9.44,0.23
214,54,100,36.04134,1,2,54,0.14,86,48.26,4.35,0.21
215,58,100,36.248285,1,0,58,0.2,80,40.21,5.07,0.22
216,66,100,36.491567,1,1,66,0.17,83,55.2,13.88,0.19
217,44,100,36.696366,-1,1,44,0.17,83,90.94,2.34,0.23
218,60,100,36.940622,1,3,60,0.16,84,71.75,8.57,0.18
219,56,100,37.148442,1,3,56,0.18,82,79.17,7.96,0.23
220,76,100,37.338938,1,1,76,0.09,91,31.73,5.43,0.19
221,74,100,37.556654,1,0,74,0.1,90,64.57,9.58,0.17
222,50,100,37.750578,1,4,50,0.22,78,48.84,12.38,0.2
223,54,100,37.973025,-1,1,54,0.15,85,103.32,4.01,0.18
224,74,100,38.195057,1,3,74,0.13,87,54.15,11.5,0.21
225,56,100,38.42905,1,2,56,0.13,87,44.25,8.28,0.2
226,58,100,38.627229,1,4,58,0.16,84,71.78,4.94,0.22
227,42,100,38.821861,-1,5,42,0.18,82,72.74,2.09,0.18
228,56,100,39.011777,1,0,56,0.18,82,87.95,4.68,0.18
229,58,100,39.201052,1,3,58,0.16,84,67.34,5.02,0.18
230,44,100,39.392621,1,2,44,0.17,83,66.18,7.54,0.18
231,36,100,39.6189,1,0,36,0.22,78,96.55,6.58,0.18
232,74,100,39.820413,1,0,74,0.12,88,110.04,5.95,0.21
233,48,100,40.034751,-1,2,48,0.15,85,52.2,7.35,0.19
234,76,100,40.254467,1,0,76,0.09,91,83.29,11.23,0.2
