episode,reward,ep_block_prob,ep_accepted_requests,avg_latency,executionTime
68,88.0,0.03,97.0,38.11,0.3
69,86.0,0.04,96.0,46.38,0.29
69,72.0,0.01,99.0,57.16,0.29
69,78.0,0.04,96.0,51.69,0.29
69,84.0,0.05,95.0,53.9,0.29
69,92.0,0.03,97.0,31.91,0.29
69,80.0,0.06,94.0,36.62,0.29
70,68.0,0.02,98.0,86.33,0.27
70,80.0,0.05,95.0,68.14,0.27
70,82.0,0.07,93.0,32.03,0.27
70,84.0,0.03,97.0,48.9,0.27

70,80.0,0.05,95.0,44.44,0.27
70,72.0,0.05,95.0,61.52,0.27
71,58.0,0.13,87.0,79.83,0.28
71,96.0,0.02,98.0,24.47,0.28
71,72.0,0.04,96.0,82.09,0.28
71,58.0,0.13,87.0,69.44,0.28
71,82.0,0.02,98.0,69.57,0.28
72,56.0,0.05,95.0,100.08,0.3
772,88.0,0.03,97.0,65.99,0.3
72,48.0,0.08,92.0,114.61,0.3
72,70.0,0.03,97.0,74.03,0.3
72,70.0,0.04,96.0,50.33,0.3
73,54.0,0.02,98.0,107.43,0.29
73,78.0,0.05,95.0,54.61,0.29
73,72.0,0.04,96.0,65.83,0.29
73,74.0,0.04,96.0,36.38,0.29
73,80.0,0.06,94.0,54.77,0.29
73,84.0,0.02,98.0,46.72,0.29
74,44.0,0.09,91.0,105.61,0.3
74,80.0,0.05,95.0,53.53,0.3
74,92.0,0.0,100.0,45.08,0.3
74,90.0,0.03,97.0,30.87,0.3
74,84.0,0.04,96.0,32.84,0.3
75,80.0,0.03,97.0,52.14,0.28
5,88.0,0.06,94.0,40.17,0.28
75,76.0,0.05,95.0,40.47,0.28
75,72.0,0.05,95.0,63.82,0.28
76,72.0,0.04,96.0,57.09,0.29
776,86.0,0.03,97.0,51.75,0.29
76,74.0,0.05,95.0,70.42,0.29

77,76.0,0.03,97.0,65.63,0.26
77,42.0,0.12,88.0,101.35,0.26
78,50.0,0.09,91.0,77.07,0.3
78,60.0,0.07,93.0,66.07,0.3
78,84.0,0.04,96.0,43.52,0.3
78,70.0,0.05,95.0,59.33,0.29
78,70.0,0.03,97.0,68.43,0.29
78,78.0,0.04,96.0,50.8,0.29
78,54.0,0.08,92.0,95.65,0.29
78,90.0,0.02,98.0,37.36,0.29
79,84.0,0.06,94.0,39.97,0.37
79,66.0,0.07,93.0,73.38,0.37
79,86.0,0.06,94.0,41.74,0.37
80,52.0,0.07,93.0,79.8,0.28

80,52.0,0.07,93.0,83.72,0.28
80,64.0,0.1,90.0,81.89,0.28
81,80.0,0.07,93.0,44.43,0.3
81,86.0,0.03,97.0,59.46,0.3
81,64.0,0.04,96.0,70.82,0.3
81,84.0,0.02,98.0,53.69,0.3
82,78.0,0.04,96.0,51.2,9.51

82,76.0,0.03,97.0,59.84,9.51
82,68.0,0.06,94.0,65.14,9.51
82,56.0,0.09,91.0,98.16,9.51
83,86.0,0.0,100.0,36.17,0.25
83,84.0,0.02,98.0,65.17,0.25
83,82.0,0.05,95.0,47.77,0.25
83,66.0,0.04,96.0,71.49,0.25
83,82.0,0.02,98.0,58.67,0.25
84,50.0,0.04,96.0,124.25,0.27
84,90.0,0.02,98.0,44.15,0.27
84,68.0,0.03,97.0,79.44,0.27
84,92.0,0.01,99.0,43.46,0.27
84,72.0,0.06,94.0,55.91,0.27
84,84.0,0.03,97.0,50.47,0.27
85,84.0,0.04,96.0,44.99,0.26
85,84.0,0.04,96.0,55.96,0.26
85,86.0,0.01,99.0,62.59,0.26
85,82.0,0.02,98.0,69.36,0.26
85,84.0,0.03,97.0,40.63,0.26
86,58.0,0.08,92.0,86.51,0.26
86,72.0,0.03,97.0,80.27,0.26
86,68.0,0.03,97.0,89.05,0.25
86,70.0,0.11,89.0,49.98,0.25
86,66.0,0.07,93.0,63.38,0.25
86,62.0,0.02,98.0,91.0,0.26
87,96.0,0.02,98.0,18.39,0.25
87,60.0,0.06,94.0,63.81,0.25
87,62.0,0.05,95.0,67.54,0.25
87,62.0,0.06,94.0,70.65,0.25
87,70.0,0.01,99.0,72.67,0.25
88,88.0,0.02,98.0,48.64,0.26
88,86.0,0.05,95.0,24.97,0.26
88,80.0,0.04,96.0,49.42,0.26
88,82.0,0.03,97.0,44.06,0.26
88,76.0,0.06,94.0,35.36,0.26
89,52.0,0.04,96.0,93.26,0.26
89,60.0,0.01,99.0,104.07,0.26
90,84.0,0.04,96.0,54.63,0.33
90,84.0,0.05,95.0,47.89,0.33
90,76.0,0.04,96.0,39.73,0.33
91,70.0,0.04,96.0,73.05,0.3
91,80.0,0.04,96.0,50.22,0.3
91,82.0,0.01,99.0,51.47,0.3
92,90.0,0.02,98.0,35.73,0.28
92,82.0,0.03,97.0,65.02,0.28
92,80.0,0.01,99.0,50.4,0.27

93,52.0,0.06,94.0,93.32,0.27
93,92.0,0.01,99.0,24.87,0.27
93,66.0,0.03,97.0,79.31,0.27
93,78.0,0.02,98.0,58.13,0.27
94,86.0,0.04,96.0,37.84,0.25
94,82.0,0.02,98.0,47.48,0.25
94,54.0,0.06,94.0,94.02,0.25
94,88.0,0.03,97.0,50.43,0.25
94,84.0,0.02,98.0,59.77,0.25
95,92.0,0.02,98.0,26.84,0.27
95,90.0,0.03,97.0,47.86,0.27
95,88.0,0.04,96.0,32.45,0.27
96,82.0,0.04,96.0,54.97,0.25
96,76.0,0.03,97.0,64.76,0.25
96,66.0,0.04,96.0,81.35,0.25
96,66.0,0.03,97.0,69.94,0.25
96,84.0,0.05,95.0,39.4,0.25
97,88.0,0.02,98.0,44.77,0.26
97,100.0,0.0,100.0,14.53,0.26
97,74.0,0.03,97.0,63.46,0.26
97,76.0,0.07,93.0,58.92,0.26
97,70.0,0.03,97.0,62.97,0.26
98,68.0,0.06,94.0,82.09,0.26
98,82.0,0.0,100.0,65.34,0.26
99,84.0,0.02,98.0,60.6,0.26

99,94.0,0.01,99.0,25.54,0.26
99,88.0,0.02,98.0,55.78,0.26
99,88.0,0.04,96.0,28.67,0.26
99,86.0,0.02,98.0,43.1,0.26

100,68.0,0.09,91.0,47.96,0.26
100,76.0,0.02,98.0,57.07,0.26
100,74.0,0.04,96.0,57.28,0.26
100,56.0,0.03,97.0,79.48,0.26
101,88.0,0.01,99.0,30.28,0.25
101,80.0,0.03,97.0,44.24,0.25
101,46.0,0.04,96.0,116.24,0.25
101,74.0,0.04,96.0,64.39,0.25
102,96.0,0.01,99.0,47.39,0.27
102,66.0,0.04,96.0,81.58,0.27
102,88.0,0.04,96.0,35.18,0.27
102,86.0,0.03,97.0,38.92,0.27
102,86.0,0.02,98.0,51.42,0.27
102,70.0,0.03,97.0,78.12,0.27
103,84.0,0.06,94.0,45.29,9.45
103,88.0,0.02,98.0,38.56,9.45
103,90.0,0.01,99.0,29.31,9.45
103,84.0,0.0,100.0,59.7,9.45
103,94.0,0.02,98.0,39.54,9.45
104,74.0,0.02,98.0,67.77,0.28
104,86.0,0.03,97.0,45.42,0.27
104,88.0,0.02,98.0,36.7,0.27
105,94.0,0.02,98.0,19.81,0.25

105,88.0,0.01,99.0,41.13,0.25
105,90.0,0.03,97.0,32.81,0.25
105,92.0,0.03,97.0,35.07,0.25
105,58.0,0.02,98.0,108.87,0.25
106,86.0,0.02,98.0,49.57,0.26
106,86.0,0.02,98.0,67.19,0.26
107,90.0,0.03,97.0,27.6,0.31
