episode,r,l,t,reward_step,action,reward,ep_block_prob,ep_accepted_requests,avg_latency,avg_cost,execution_time
175,824.25,100,24.445114,15,0,824.25,0.13,87,49.12,6.38,0.17
176,773.49,100,24.617105,15,3,773.49,0.22,78,57.45,5.8,0.17
177,1218.65,100,24.819581,15,2,1218.65,0.11,89,64.38,2.18,0.16
178,875,100,24.998224,8,4,875,0.13,87,58.53,5.79,0.19
179,351,100,25.178981,0,1,351,0.21,79,48.15,11.29,0.17
180,708.82,100,25.364389,15,1,708.82,0.15,85,77.63,7.48,0.17
181,699.78,100,25.540603,12,1,699.78,0.23,77,51.63,6.61,0.17
182,664.69006,100,25.722788,1.33,4,664.69,0.19,81,92.29,7.56,0.16
183,437,100,25.893398,0,3,437,0.15,85,84.14,10.68,0.17
184,658.33997,100,26.074613,8,3,658.34,0.14,86,76.21,8.18,0.16
185,896.4799,100,26.258257,14,1,896.48,0.12,88,66.96,5.68,0.17
186,1049,100,26.441169,12,2,1049,0.15,85,49.14,3.48,0.17
187,795.6401,100,26.6153,14,1,795.64,0.17,83,66.7,6.21,0.17
188,915.74,100,26.807202,8,3,915.74,0.11,89,59.75,5.59,0.16
189,994.16,100,26.994213,15,2,994.16,0.13,87,58.59,4.42,0.18
190,701.88,100,27.17004,14,0,701.88,0.16,84,38.68,7.45,0.17
191,477.5,100,27.355383,15,3,477.5,0.2,80,54,9.78,0.16
192,960.4,100,27.546769,8,0,960.4,0.18,82,56.83,4.07,0.17
193,576.64,100,27.733679,0,3,576.64,0.12,88,89.65,9.31,0.18
194,677.13007,100,27.925116,15,0,677.13,0.12,88,62.17,8.17,0.17
195,539,100,28.103902,14,2,539,0.21,79,93.41,8.91,0.18
196,659.36,100,28.289733,14,3,659.36,0.14,86,89.56,8.17,0.17
197,531.84,100,28.467092,0,1,531.84,0.23,77,50.7,8.79,0.17
198,609.27,100,28.644644,12,3,609.27,0.12,88,47.77,8.94,0.16
199,797.3401,100,28.834446,15,3,797.34,0.13,87,66.98,6.69,0.16
200,710.5,100,29.012827,12,3,710.5,0.17,83,74.29,7.23,0.18
201,599.36005,100,29.193297,2.67,4,599.36,0.14,86,59.09,8.87,0.17
202,948.51,100,29.381152,8,2,948.51,0.17,83,89.07,4.37,0.17
203,633.92004,100,29.564672,14,1,633.92,0.19,81,66.22,7.94,0.17
204,728.14,100,29.744366,8,3,728.14,0.17,83,83.74,7.02,0.17
205,862.47003,100,29.932186,15,1,862.47,0.14,86,41.77,5.81,0.16
206,461,100,30.117307,12,2,461,0.15,85,48.99,10.4,0.17
207,1009.05994,100,30.301769,8.67,4,1009.06,0.18,82,95.1,3.47,0.17
208,500,100,30.480567,12,2,500,0.16,84,77.33,9.86,0.17
209,845,100,30.664074,12,1,845,0.15,85,86.1,5.88,0.16
210,687.55,100,30.849472,0,2,687.55,0.17,83,58.53,7.51,0.17
211,568.45,100,31.025142,15,0,568.45,0.19,81,91.85,8.75,0.17
212,672.87994,100,31.208153,-1,5,672.88,0.16,84,98.31,7.8,0.16
213,812.2299,100,31.397919,4.67,4,812.23,0.17,83,32.88,6.01,0.17
214,513,100,31.574056,0,0,513,0.13,87,48.1,9.95,0.18
215,576.24994,100,31.762609,8,3,576.25,0.15,85,58.43,9.04,0.16
216,438.58002,100,31.945634,0,1,438.58,0.23,77,77.88,10.01,0.17
217,710.74005,100,32.130917,12,2,710.74,0.18,82,74.14,7.11,0.17
218,1128.52,100,32.310359,14,2,1128.52,0.16,84,101.17,2.37,0.17
219,322,100,32.49311,0,1,322,0.14,86,103.16,12.09,0.17
220,626.00006,100,32.680575,-1,4,626,0.09,91,71.94,9.02,0.17
221,641.33,100,32.864633,1.6,4,641.33,0.17,83,49.07,8.07,0.17
222,808.14,100,33.054124,8,4,808.14,0.22,78,84.24,5.36,0.17
223,746.6,100,33.245391,15,2,746.6,0.17,83,83.64,6.8,0.17
224,812.25006,100,33.429861,4,4,812.25,0.15,85,78.37,6.27,0.18
225,908,100,33.6222,8,1,908,0.12,88,77.71,5.55,0.17
226,857.17,100,33.808104,-1,5,857.17,0.17,83,88.39,5.47,0.18
227,624.69006,100,34.004342,12,3,624.69,0.19,81,67.6,8.05,0.17
228,542,100,34.189866,0,4,542,0.18,82,43.41,9.17,0.18
229,1115.1001,100,34.377421,15,2,1115.1,0.18,82,116.98,2.18,0.17
230,496,100,34.556917,8,0,496,0.12,88,102.24,10.23,0.17
231,609.75006,100,34.75191,14,2,609.75,0.19,81,78.71,8.24,0.17
